model	name	run	prompt_tps	decode_tps	prompt_tokens
Qwen3-8B-Q4_K_M.gguf	chat_01	1	808,9	97,5	0
Qwen3-8B-Q4_K_M.gguf	chat_01	2	809,6	97,6	0
Qwen3-8B-Q4_K_M.gguf	chat_01	3	818,0	98,0	0
Qwen3-8B-Q4_K_M.gguf	chat_02	1	820,7	98,3	0
Qwen3-8B-Q4_K_M.gguf	chat_02	2	823,4	98,4	0
Qwen3-8B-Q4_K_M.gguf	chat_02	3	808,7	98,4	0
Qwen3-8B-Q4_K_M.gguf	chat_03	1	793,2	98,3	0
Qwen3-8B-Q4_K_M.gguf	chat_03	2	810,7	98,3	0
Qwen3-8B-Q4_K_M.gguf	chat_03	3	815,4	98,8	0
Qwen3-8B-Q4_K_M.gguf	chat_04	1	822,8	98,6	0
Qwen3-8B-Q4_K_M.gguf	chat_04	2	828,3	98,4	0
Qwen3-8B-Q4_K_M.gguf	chat_04	3	817,4	98,2	0
Qwen3-8B-Q4_K_M.gguf	chat_05	1	832,4	98,1	0
Qwen3-8B-Q4_K_M.gguf	chat_05	2	831,3	98,3	0
Qwen3-8B-Q4_K_M.gguf	chat_05	3	828,5	98,6	0
Qwen3-8B-Q4_K_M.gguf	code_01	1	885,9	98,5	0
Qwen3-8B-Q4_K_M.gguf	code_01	2	907,1	98,6	0
Qwen3-8B-Q4_K_M.gguf	code_01	3	896,7	98,9	0
Qwen3-8B-Q4_K_M.gguf	code_02	1	910,7	98,5	0
Qwen3-8B-Q4_K_M.gguf	code_02	2	904,9	98,7	0
Qwen3-8B-Q4_K_M.gguf	code_02	3	902,8	98,8	0
Qwen3-8B-Q4_K_M.gguf	code_03	1	1146,4	98,9	0
Qwen3-8B-Q4_K_M.gguf	code_03	2	1134,7	99,1	0
Qwen3-8B-Q4_K_M.gguf	code_03	3	1143,9	99,0	0
Qwen3-8B-Q4_K_M.gguf	code_04	1	835,6	98,9	0
Qwen3-8B-Q4_K_M.gguf	code_04	2	834,4	98,9	0
Qwen3-8B-Q4_K_M.gguf	code_04	3	841,7	99,1	0
Qwen3-8B-Q4_K_M.gguf	code_05	1	981,5	99,2	0
Qwen3-8B-Q4_K_M.gguf	code_05	2	985,7	99,1	0
Qwen3-8B-Q4_K_M.gguf	code_05	3	999,9	99,3	0
Qwen3-8B-Q4_K_M.gguf	prose_01	1	834,4	99,2	0
